muni_code,demarcation_label,opinion_code,opinion_label,governance_score
TSH,City of Tshwane,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
WC011,Matzikama,unqualified,Unqualified - No findings,5
WC012,Cederberg,unqualified,Unqualified - No findings,5
WC013,Bergrivier,unqualified,Unqualified - No findings,5
WC014,Saldanha Bay,unqualified,Unqualified - No findings,5
WC015,Swartland,unqualified,Unqualified - No findings,5
WC022,Witzenberg,unqualified,Unqualified - No findings,5
WC023,Drakenstein,unqualified,Unqualified - No findings,5
WC024,Stellenbosch,unqualified,Unqualified - No findings,5
WC025,Breede Valley,unqualified,Unqualified - No findings,5
WC026,Langeberg,unqualified,Unqualified - No findings,5
WC031,Theewaterskloof,unqualified,Unqualified - No findings,5
WC032,Overstrand,unqualified,Unqualified - No findings,5
WC033,Cape Agulhas,unqualified,Unqualified - No findings,5
WC034,Swellendam,unqualified,Unqualified - No findings,5
WC041,Kannaland,outstanding,Outstanding,0
WC042,Hessequa,unqualified,Unqualified - No findings,5
WC043,Mossel Bay,unqualified,Unqualified - No findings,5
WC044,George,unqualified,Unqualified - No findings,5
WC045,Oudtshoorn,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
WC047,Bitou,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
WC048,Knysna,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
WC051,Laingsburg,outstanding,Outstanding,0
WC052,Prince Albert,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
WC053,Beaufort West,outstanding,Outstanding,0
