demarcation.code,demarcation.label,financial_year_end.year,item.code,item.label,amount
FS194,Maluti-a-Phofung,2021,unauthorised,Unauthorised Expenditure,168798650
FS195,Phumelela,2021,fruitless,Fruitless and Wasteful Expenditure,11168708
FS195,Phumelela,2021,irregular,Irregular Expenditure,8471110
FS195,Phumelela,2021,unauthorised,Unauthorised Expenditure,95611689
FS196,Mantsopa,2021,fruitless,Fruitless and Wasteful Expenditure,5499916
FS196,Mantsopa,2021,irregular,Irregular Expenditure,0
FS196,Mantsopa,2021,unauthorised,Unauthorised Expenditure,182819770
FS201,Moqhaka,2021,fruitless,Fruitless and Wasteful Expenditure,5386711
FS201,Moqhaka,2021,irregular,Irregular Expenditure,140623380
FS201,Moqhaka,2021,unauthorised,Unauthorised Expenditure,76693867
FS203,Ngwathe,2021,fruitless,Fruitless and Wasteful Expenditure,30573142
FS203,Ngwathe,2021,irregular,Irregular Expenditure,0
FS203,Ngwathe,2021,unauthorised,Unauthorised Expenditure,99115148
FS204,Metsimaholo,2021,fruitless,Fruitless and Wasteful Expenditure,3594516
FS204,Metsimaholo,2021,irregular,Irregular Expenditure,70724402
FS204,Metsimaholo,2021,unauthorised,Unauthorised Expenditure,16372664
FS205,Mafube,2021,fruitless,Fruitless and Wasteful Expenditure,0
FS205,Mafube,2021,irregular,Irregular Expenditure,0
FS205,Mafube,2021,unauthorised,Unauthorised Expenditure,0
GT421,Emfuleni,2021,fruitless,Fruitless and Wasteful Expenditure,399626377
GT421,Emfuleni,2021,irregular,Irregular Expenditure,80089622
GT421,Emfuleni,2021,unauthorised,Unauthorised Expenditure,1152484854
GT422,Midvaal,2021,fruitless,Fruitless and Wasteful Expenditure,4298751
GT422,Midvaal,2021,irregular,Irregular Expenditure,5461600
GT422,Midvaal,2021,unauthorised,Unauthorised Expenditure,0
GT423,Lesedi,2021,fruitless,Fruitless and Wasteful Expenditure,39564
GT423,Lesedi,2021,irregular,Irregular Expenditure,14481206
GT423,Lesedi,2021,unauthorised,Unauthorised Expenditure,22369422
GT481,Mogale City,2021,fruitless,Fruitless and Wasteful Expenditure,22940652
GT481,Mogale City,2021,irregular,Irregular Expenditure,84644079
GT481,Mogale City,2021,unauthorised,Unauthorised Expenditure,0
GT484,Merafong City,2021,fruitless,Fruitless and Wasteful Expenditure,46119165
GT484,Merafong City,2021,irregular,Irregular Expenditure,33893638
GT484,Merafong City,2021,unauthorised,Unauthorised Expenditure,0
GT485,Rand West City,2021,fruitless,Fruitless and Wasteful Expenditure,59726643
GT485,Rand West City,2021,irregular,Irregular Expenditure,164128326
GT485,Rand West City,2021,unauthorised,Unauthorised Expenditure,202072243
JHB,City of Johannesburg,2021,fruitless,Fruitless and Wasteful Expenditure,11380000
JHB,City of Johannesburg,2021,irregular,Irregular Expenditure,1118009000
JHB,City of Johannesburg,2021,unauthorised,Unauthorised Expenditure,1003250000
KZN212,Umdoni,2021,fruitless,Fruitless and Wasteful Expenditure,15396807
KZN212,Umdoni,2021,irregular,Irregular Expenditure,91640629
KZN212,Umdoni,2021,unauthorised,Unauthorised Expenditure,16930064
KZN213,Umzumbe,2021,fruitless,Fruitless and Wasteful Expenditure,11729
KZN213,Umzumbe,2021,irregular,Irregular Expenditure,60778479
KZN213,Umzumbe,2021,unauthorised,Unauthorised Expenditure,0
